Subzone,2022pop
Pandan,0
Pang Sua,0
Park,0
Pasir Panjang 1,680
Pasir Panjang 2,640
Pasir Ris Central,3700
Pasir Ris Drive,7730
Pasir Ris Park,460
Pasir Ris Wafer Fab Park,0
Pasir Ris West,4010
Paterson,30
Paya Lebar East,0
Paya Lebar North,0
Paya Lebar West,0
Pearl's Hill,2060
Pei Chun,2470
Peng Siang,4530
Penjuru Crescent,0
People's Park,70
Phillip,0
Pioneer Sector,0
Plab,0
Plantation,0
Port,30
Potong Pasir,2860
Pulau Punggol Barat,0
Pulau Punggol Timor,0
Pulau Seletar,0
Punggol Canal,0
Punggol Field,5450
Punggol Town Centre,1490
Queensway,40
Raffles Place,0
Redhill,1800
Reservoir View,0
Ridout,320
Rivervale,7980
Robertson Quay,290
Rochor Canal,0
Safti,0
Samulun,0
Saujana,3030
Selegie,50
Seletar,10
Seletar Aerospace Park,0
Seletar Hills,2960
Semakau,0
Sembawang Central,3690
Sembawang East,1280
Sembawang Hills,1420
Sembawang North,2880
Sembawang Springs,950
Sembawang Straits,280
Sengkang Town Centre,7260
Sengkang West,0
Senja,2870
Sennett,1880
Senoko North,0
Senoko South,0
Senoko West,0
Sentosa,180
Serangoon Central,5680
Serangoon Garden,8760
Serangoon North,2590
Serangoon North Ind Estate,0
Shangri-La,4070
Shipyard,0
Siglap,1770
Simei,6640
Simpang North,0
Simpang South,0
Singapore General Hospital,0
Singapore Polytechnic,0
Somerset,10
Southern Group,0
Springleaf,850
Straits View,0
Sudong,0
Sungei Road,510
Sunset Way,1370
Swiss Club,950
Tagore,1700
Tai Seng,2920
Taman Jurong,5220
Tampines East,22820
Tampines North,1270
Tampines West,12860
Tanglin,50
Tanglin Halt,1500
Tanjong Irau,0
Tanjong Pagar,80
Tanjong Rhu,1760
Teban Gardens,3870
Teck Whye,4430
Telok Blangah Drive,4000
Telok Blangah Rise,3510
Telok Blangah Way,2420
Tengah Industrial Estate,0
Tengeh,0
The Wharves,0
Tiong Bahru,2640
Tiong Bahru Station,2960
Toa Payoh Central,5430
Toa Payoh West,3560
Toh Guan,2500
Toh Tuck,0
Townsville,5260
Trafalgar,7670
Tuas Bay,0
Tuas North,0
Tuas Promenade,0
Tuas View,0
Tuas View Extension,0
Tukang,0
Turf Club,150
Tyersall,690
Ulu Pandan,2210
Upper Paya Lebar,3300
Upper Thomson,6460
Victoria,520
Waterway East,3930
Wenya,980
West Coast,970
Woodgrove,4040
Woodlands East,9500
Woodlands Regional Centre,0
Woodlands South,3880
Woodlands West,5500
Woodleigh,350
Xilin,250
Yew Tee,4550
Yio Chu Kang,0
Yio Chu Kang East,820
Yio Chu Kang North,0
Yio Chu Kang West,5150
Yishun Central,390
Yishun East,6940
Yishun South,6940
Yishun West,9760
Yuhua East,5680
Yuhua West,3920
Yunnan,9400
